trxID,amount,type,transactionTime
be2812a1-d6f3-4893-8a0c-2c455d1accf4,75000.00,CREDIT,2025-04-20 23:45:50
05ba2b98-bdf5-47cc-96fb-8c95d361df8c,50000916.00,DEBIT,2025-04-08 7:35:09
c17702b3-e358-459f-b7b7-5978c384b6d0,10000.00,DEBIT,2025-04-26 16:27:07
d54ba262-1b7b-4c97-8aa3-234e5019246c,20000000.00,CREDIT,2025-04-11 14:18:25
a9339aec-8a37-438f-9134-1753f1337883,100000000.00,CREDIT,2025-04-23 15:43:34
d28a19f2-3cd2-4e99-b5e7-1f2dedbfc27a,75000.00,CREDIT,2025-04-23 2:22:15
547edc72-1749-416e-9d5e-7317cd51aaee,75000.00,DEBIT,2025-04-10 20:21:11
aa47a496-4fa1-49c2-977a-96566642c81f,750000.00,DEBIT,2025-04-13 4:34:55
6e986ca3-c0d3-45d5-bf7d-1431969ad7d6,250371.00,DEBIT,2025-04-21 23:01:13
fe6d8cca-1a89-40b4-aa3e-c7766b8e681d,10000316.00,CREDIT,2025-04-28 18:48:39
04fa6987-a615-4397-bf9b-872c5acaefdc,100000000.00,DEBIT,2025-04-30 0:53:29
1e2f537b-7f4b-41fc-867c-d37724ab007a,500000.00,CREDIT,2025-04-05 0:28:03
be8c38d4-942c-4069-b2d3-46f97e7688bf,2000623.00,DEBIT,2025-04-25 2:46:49
5c943bc4-f725-4ac1-8145-2b145317c464,10000.00,CREDIT,2025-04-30 13:09:45
6f4f6a77-670a-4a85-9257-940930d4e576,50000000.00,DEBIT,2025-04-01 7:14:21
3efb714e-35ae-4a9a-98d5-ee6d69fd4635,50000.00,CREDIT,2025-04-05 3:21:07
f9281d1a-2c30-4955-ba0a-67176615a060,5000050.00,CREDIT,2025-04-06 8:34:03
edf0992f-4847-4dfd-91b2-46fdbf53cf92,100000.00,CREDIT,2025-04-04 19:28:29
852baf27-0252-480e-a227-63466c69377e,2500000.00,CREDIT,2025-04-08 14:46:01
34cb3f90-b069-473d-8d7c-d9c4413c1acd,2500000.00,DEBIT,2025-04-12 18:22:23
a2566534-6052-42fe-936c-f24cc8fa7959,250857.00,CREDIT,2025-04-04 1:56:28
0e5859c9-1b93-4e03-a31d-07705d04b57f,1000000.00,DEBIT,2025-04-09 11:42:18
c3893630-a602-4955-b53e-b98d227027c2,250000.00,CREDIT,2025-04-27 2:52:00
abb93887-6e25-4e87-af45-e3d7f0f32bd1,50000.00,DEBIT,2025-04-08 12:01:16
27b8f30c-aec3-4a5d-9397-6996008bf8a5,15000000.00,DEBIT,2025-04-25 2:41:58
a6eac5dd-9cd3-4a0d-9368-4b3fc62ffacd,50000000.00,CREDIT,2025-04-15 7:50:41
b9b0ca53-0657-4faf-a993-f73d9d65b8be,200000.00,DEBIT,2025-04-22 15:56:30
ed8c5473-309e-46f9-ab03-8aa363530180,150000.00,DEBIT,2025-04-08 10:29:25
57b0a97f-8b1b-404a-aaee-8e9c1adf0695,750000.00,DEBIT,2025-04-26 13:00:34
616e25f4-5c1a-4332-8d56-ad78b902e1a4,500000.00,CREDIT,2025-04-21 23:21:37
4d9e1009-7b8d-4dfe-aebd-287c76d3f9ba,750000.00,DEBIT,2025-04-06 21:50:49
e35f3d45-cd8b-412c-9fc3-18bccd5f8d2b,1500308.00,DEBIT,2025-04-20 22:57:40
1c571044-15dc-471e-a46c-692a4660c247,2000000.00,CREDIT,2025-04-24 2:24:53
69ebdba4-643f-4a5c-9a69-a63ce4fdebf0,15000000.00,DEBIT,2025-04-19 10:20:23
a5f9814b-ad44-4523-bfdc-f325a3c79445,2000000.00,DEBIT,2025-04-10 4:27:45
dddeae35-7eac-44e1-abc3-ba0d8c6ac778,20000.00,DEBIT,2025-04-11 4:08:31
5908ad46-34c2-4529-b0d2-d4c8684cd23c,15000000.00,DEBIT,2025-04-12 15:53:39
83c069c4-d523-42c4-bfee-178f58c50859,250005.00,CREDIT,2025-04-21 12:41:59
